"8484","Scientific American Supplement, No. 430, March 29, 1884","Various","124","12"
"30421","The Age of Pope (1700-1744)","Dennis, John","2408","270"
"39407","Kentucky in American Letters, 1784-1912. Vol. 2 of 2","Townsend, John Wilson","2584","1517"
"3845","Memoirs of Jean François Paul de Gondi, Cardinal de Retz — Volume 4","Retz, Jean François Paul de Gondi de","339","55"
"7583","Widger's Quotes and Images from Serge Panine by George Ohnet  The French Immortals: Quotes and Images","Ohnet, Georges","10","2"
"11243","Miles Wallingford Sequel to "Afloat and Ashore"","Cooper, James Fenimore","2387","1801"
"17558","My Life as an Author","Tupper, Martin Farquhar","1726","259"
"1463","The Private Papers of Henry Ryecroft","Gissing, George","764","74"
"37905","The Anglo-French Entente in the Seventeenth Century","Bastide, Charles","986","191"
"40741","Paul and His Dog, v.1 (Novels of Paul de Kock Volume XIII)","Kock, Paul de","2660","1543"
"22052","Standish of Standish: A Story of the Pilgrims","Austin, Jane G. (Jane Goodwin)","2827","884"
"32521","Keep-Well Stories for Little Folks","Jones, May Farinholt","323","158"
"6262","The Weavers: a tale of England and Egypt of fifty years ago - Volume 2","Parker, Gilbert","1928","326"
"44581","The Stoneground Ghost Tales Compiled from the recollections of the reverend Roland Batchel, the vicar of the parish.","Swain, E. G.","1744","173"
"48860","The Brown Owl A Fairy Story","Hueffer, Ford H. Madox","913","613"
"37813","Martyria; or, Andersonville Prison","Hamlin, Augustus C. (Augustus Choate)","313","28"
"46127","The Motor Boys Over the Ocean; Or, A Marvelous Rescue in Mid-Air","Young, Clarence","1086","149"
"6809","The Doctor's Daughter","Vera","1207","1390"
"36006","Diphtheria  how to recognize the disease, how to keep from catching it, how to treat those who do catch it","United States. Public Health Service","6","4"
"37574","Great Inventions and Discoveries","Piercy, Willis Duff","791","28"
"486","Ozma of Oz","Baum, L. Frank (Lyman Frank)","615","758"
"6956","In Divers Tones","Roberts, Charles G. D., Sir","114","45"
"17932","The Second Class Passenger  Fifteen Stories","Gibbon, Perceval","3855","1529"
"6471","The Children of the New Forest","Marryat, Frederick","3568","581"
"24023","History of the United States, Volume 6","Andrews, Elisha Benjamin","507","30"
"29455","Invasion","Leinster, Murray","197","35"
"30850","Philippine Mats Philippine Craftsman Reprint Series No. 1","Philippines. Bureau of Education","16","1"
"35424","The Amethyst Box","Green, Anna Katharine","955","1146"
"35478","Neighbours","Stead, Robert J. C.","1329","972"
"45621","South America To-day A Study of Conditions, Social, Political and Commercial in Argentina, Uruguay and Brazil","Clemenceau, Georges","807","112"
"5947","Billy Bunny and Uncle Bull Frog","Cory, David","738","151"
"17913","Clemence The Schoolmistress of Waveland","Babcock, Retta","672","2163"
"32445","The Pain and Sorrow of Evil Marriage","Worde, Wynkyn de","60","33"
"15279","A Letter Addressed to the Abbe Raynal, on the Affairs of North America, in Which the Mistakes in the Abbe's Account of the Revolution of America Are Corrected and Cleared Up","Paine, Thomas","210","225"
"23263","The Fugitives: The Tyrant Queen of Madagascar","Ballantyne, R. M. (Robert Michael)","2275","687"
"35883","War Inconsistent with the Religion of Jesus Christ","Dodge, David Low","979","47"
"11157","The Atlantic Monthly, Volume 08, No. 46, August, 1861  A Magazine of Literature, Art, and Politics","Various","1875","638"
"12203","Blundell's Improvement Odd Craft, Part 3.","Jacobs, W. W. (William Wymark)","161","42"
"33645","The Man Who Couldn't Sleep","Stringer, Arthur","1749","1133"
"27511","The Free Range","Sullivan, Francis William","2007","499"
"41021","Clara Vaughan, Volume 2 (of 3)","Blackmore, R. D. (Richard Doddridge)","1475","787"
"1038","Style","Raleigh, Walter Alexander, Sir","428","20"
"8282","The World English Bible (WEB): 2 Timothy","Anonymous","38","0"
"16756","The Bobbsey Twins at the County Fair","Hope, Laura Lee","690","309"
"34698","Essays Upon Some Controverted Questions","Huxley, Thomas Henry","1996","99"
"47296","The Popular Science Monthly, October, 1900 Vol. 57, May, 1900 to October, 1900","Various","312","85"
"6627","Barriers Burned Away","Roe, Edward Payson","4848","3650"
"7254","Personal Narrative of Travels to the Equinoctial Regions of America, During the Year 1799-1804 — Volume 3","Bonpland, Aimé","424","29"
"46219","An Unsinkable Titanic Every Ship its own Lifeboat","Walker, John Bernard","44","176"
"44369","Pals Young Australians in Sport and Adventure","Bowes, Joseph","1630","170"
"1213","The Man That Corrupted Hadleyburg","Twain, Mark","442","61"
"1911","Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.","Luther, Martin","284","45"
"43234","Bright Ideas: A Record of Invention and Misinvention","Strang, Herbert","1254","98"
"49274","A Guide to the Exhibition of English Medals","Grueber, Herbert A.","449","84"
"37560","Punch, or the London Charivari, Vol. 105, September 9, 1893","Various","148","17"
"13126","The King's Daughter and Other Stories for Girls","Various","299","1560"
"5305","Travels in the Interior of Africa — Volume 02","Park, Mungo","738","105"
"2926","A Critical Examination of the Position of Mr. Darwin's Work, "On the Origin of Species," in Relation to the Complete Theory of the Causes of the Phenomena of Organic Nature  Lecture VI. (of VI.), "Lectures to Working Men", at the Museum of Practical Geology, 1863, on Darwin's Work: "Origin of Species"","Huxley, Thomas Henry","49","0"
"10462","Clarissa Harlowe; or the history of a young lady — Volume 4","Richardson, Samuel","2168","2498"
"18011","The Portion of Labor","Freeman, Mary Eleanor Wilkins","3798","7335"
"27864","Ainslee's, Vol. 15, No. 5, June 1905","Various","2605","2693"
"10848","Natalie  Or, A Gem Among the Sea-Weeds","Vale, Ferna","1721","1798"
"48315","David Blaize","Benson, E. F. (Edward Frederic)","4071","163"
"1444","The Voice of the City: Further Stories of the Four Million","Henry, O.","1223","543"
"35139","Manual for Noncommissioned Officers and Privates of Cavalry of the Army  of the United States 1917. To be also used by Engineer Companies (Mounted) for  Cavalry Instruction and Training","United States. War Department","1065","0"
"36161","A Letter to Thomas F. Bayard","Spooner, Lysander","25","0"
